Course_ID,Course_Feature_0,Course_Feature_1,Course_Feature_2,Course_Feature_3,Course_Feature_4,Course_Feature_5,Course_Feature_6,Course_Feature_7,Course_Feature_8,Course_Feature_9,Course_Feature_10,Course_Feature_11,Course_Feature_12,Course_Feature_13,Course_Feature_14,Course_Feature_15
CC0201EN,-0.12431048,-0.23127443,-0.12888497,-0.26326343,-0.2426693,0.20160614,-0.034599874,0.13112864,-0.049531553,-0.0013386728,-0.025404813,0.034617472,-0.103197336,0.059695154,0.11037195,-0.084242076
ML0120ENv2,-0.110904895,0.028903475,-0.020594751,0.17340094,-0.14647256,0.0771549,0.14756237,-0.22938362,0.021444404,0.030098904,0.10081925,0.10349549,0.041842602,-0.2024776,0.22379565,0.06411579
BD0143EN,0.09525205,0.13595031,0.16677839,0.15964699,-0.0120151695,0.09880233,0.058926843,0.236823,0.19374503,0.2613971,-0.07449884,0.09527604,-0.035188094,-0.07194867,0.19448668,0.16601773
LB0105ENv1,0.06095886,0.18519564,-0.015686672,-0.082270846,-0.09836483,-0.008499037,-0.14847414,-0.17185865,0.08609693,0.04312962,0.14480358,0.12113649,0.02547523,0.2467685,-0.03393204,-0.002795445
ML0201EN,0.02808282,-0.07642237,-0.045314018,-0.0813904,0.066777796,-0.07884697,0.084757954,-0.08058265,-0.17627966,-0.10496691,-0.077443056,0.117800266,-0.09082854,-0.0689671,-0.042685248,0.045057178
BD0115EN,-0.14345312,-0.047387652,-0.2529157,0.18367907,0.05567586,0.1509182,-0.10953928,0.07025446,-0.03678569,-0.10171198,0.101212956,-0.019170115,0.122465946,-0.20995696,-0.16320305,0.06761952
BD0221EN,-0.06831322,0.079718485,-0.08991826,-7.765548e-06,0.0859489,0.14332896,0.078395024,-0.015791133,-0.13658181,-0.20561984,-0.21541795,0.10311418,0.18691775,-0.08480072,-0.062751174,0.18873237
ML0120EN,-0.05258865,0.030796036,0.16141357,-0.019889353,-0.13624641,-0.1934642,0.138818,-0.26180598,-0.041512012,-0.04542357,-0.015630314,0.2659552,-0.08301161,-0.09783932,0.17052767,-0.092650265
BD0137EN,0.004332157,-0.25183058,-0.06526284,0.1943431,0.063507564,-0.07587702,-0.086920686,-0.09882367,-0.026644796,0.11443226,-0.02723724,0.09460806,0.06215998,0.03263901,0.20882197,-0.089397006
DAI101EN,0.13989548,-0.12040774,0.098183125,-0.13021688,-0.015006535,-0.089409545,-0.039938953,-0.027165884,0.16140376,0.23541649,-0.002957086,-0.003386991,0.014891977,-0.00778513,-0.12127828,-0.0971746
RP0103EN,0.111672945,-0.11804113,-0.23714814,-0.080232196,0.07466777,-0.11072882,0.26369432,-0.26378903,0.18502003,0.006541649,-0.030988505,0.0839774,0.2782339,-0.023184845,0.11925542,-0.049340658
BD0212EN,0.06507816,-0.02572606,-0.13248599,-0.029770147,-0.054954253,0.092789456,0.18327922,0.020678815,-0.1835165,0.024769094,0.042977028,0.007240997,-0.10502869,-0.24858941,0.24901235,0.010763718
BD0135EN,0.124261715,0.0993097,-0.121424906,-0.14208443,-0.09868976,0.06520515,-0.039734904,0.15219907,-0.04984809,-0.11998339,0.027943779,-0.041346025,0.016930103,-0.14060706,-0.023046805,0.26128975
CC0250EN,0.22784661,-0.1129431,-0.034340277,-0.16720523,0.2427661,-0.06473705,0.071205914,0.20952979,0.012935485,0.05379964,0.087866895,-0.050330043,-0.07518092,0.16321807,0.26538238,0.025470633
TA0105,0.10542312,-0.024518928,-0.051782988,-0.08799977,0.0641123,-0.23187135,-0.14509153,0.054501068,-0.051007222,-0.11308008,-0.26225087,-0.043856487,-0.045199882,0.104638934,0.01581189,0.0097497
DS0321EN,0.12031124,-0.19363384,0.076384276,0.011912761,0.038925435,0.037221678,-0.27005786,-0.1938411,-0.08937628,0.044836156,0.14752609,0.16785543,-0.16148782,-0.017024713,0.09178953,0.12092154
